hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc2500,poc1000,poc500,poc1000new,poc500new,income.med2500diff,income.med1000diff,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,link,link.se,pred,lcl,ucl,var,value
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.362539751,-1.362539751,-1.362539751,0,0,0,0,0,0,0,3.333744534,0.059974859,28.0431539,24.87329696,31.61697791,income,-60.849
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,-1.3,-1.3,0,0,0,0,0,0,0,3.343001752,0.056283871,28.3039608,25.29063098,31.67632304,income,-57.52997402
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25,-1.25,-1.25,0,0,0,0,0,0,0,3.350150604,0.053485252,28.5070266,25.61505077,31.72551063,income,-54.87644093
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-1.2,-1.2,0,0,0,0,0,0,0,3.357075344,0.050824795,28.70511539,25.93065226,31.77643361,income,-52.22290783
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15,-1.15,-1.15,0,0,0,0,0,0,0,3.363775971,0.048305232,28.89810352,26.23686564,31.82927405,income,-49.56937474
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,-1.1,-1.1,0,0,0,0,0,0,0,3.370252485,0.04592935,29.08586989,26.53312058,31.884219,income,-46.91584164
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05,-1.05,-1.05,0,0,0,0,0,0,0,3.376504888,0.043699917,29.26829616,26.8188515,31.9414558,income,-44.26230855
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,3.382533178,0.041619576,29.44526681,27.09350483,32.00116571,income,-41.60877545
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.95,-0.95,-0.95,0,0,0,0,0,0,0,3.388337355,0.039690718,29.61666932,27.35654811,32.0635154,income,-38.95524236
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,-0.9,-0.9,0,0,0,0,0,0,0,3.393917421,0.037915311,29.78239421,27.60748135,32.12864636,income,-36.30170927
