hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc2500,poc1000,poc500,poc1000new,poc500new,income.med2500diff,income.med1000diff,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,link,link.se,pred,lcl,ucl,var,value
1.4,-1.046724,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.243415916,0.032041819,25.62109194,24.03070239,27.31673596,dist,0.049999824
1.4,-1,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.256432129,0.031441796,25.95676136,24.37476892,27.64142966,dist,0.073643869
1.4,-0.95,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.269905622,0.030883009,26.30885626,24.73303017,27.98508363,dist,0.098945689
1.4,-0.9,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.282908357,0.030404722,26.65317704,25.08070718,28.32423508,dist,0.12424751
1.4,-0.85,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.295440333,0.030000699,26.98929572,25.41752598,28.65826061,dist,0.14954933
1.4,-0.8,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30750155,0.029664329,27.31679049,25.74326117,28.98650012,dist,0.17485115
1.4,-0.75,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.319092008,0.029388767,27.63524658,26.05773035,29.3082645,dist,0.200152971
1.4,-0.7,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.330211707,0.029167061,27.94425708,26.36078754,29.62284426,dist,0.225454791
1.4,-0.65,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.340860648,0.028992293,28.2434239,26.65231628,29.92951851,dist,0.250756611
1.4,-0.6,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35103883,0.028857697,28.53235853,26.9322226,30.22756404,dist,0.276058432
1.4,-0.55,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.360746253,0.028756767,28.81068293,27.20042832,30.51626398,dist,0.301360252
1.4,-0.5,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.369982918,0.028683345,29.07803034,27.456865,30.7949159,dist,0.326662072
1.4,-0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.378748824,0.028631699,29.33404608,27.7014685,31.06283913,dist,0.351963893
1.4,-0.4,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.387043971,0.028596572,29.57838834,27.93417438,31.31938122,dist,0.377265713
1.4,-0.35,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.394868359,0.028573225,29.81072891,28.15491414,31.56392358,dist,0.402567534
1.4,-0.3,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.402221989,0.028557465,30.03075397,28.36361207,31.79588628,dist,0.427869354
1.4,-0.25,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40910486,0.02854566,30.23816474,28.56018287,32.01473223,dist,0.453171174
