hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc500,poc1000new,poc500new,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,poc2500,poc1000,income.med1000diff,income.med2500diff,link,link.se,pred,lcl,ucl,var,value.poc,value.income
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.847134892,0,0,-1.346542212,0,0,0,0,0,0,0,-0.847134892,-0.847134892,-1.346542212,-1.346542212,3.305579676,0.067186996,27.26434149,23.83620596,31.18551325,minority-income,0,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.794916574,0,0,-1.346542212,0,0,0,0,0,0,0,-0.794916574,-0.794916574,-1.346542212,-1.346542212,3.307192794,0.066307092,27.30835758,23.91673948,31.18093895,minority-income,0.025,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.742698256,0,0,-1.346542212,0,0,0,0,0,0,0,-0.742698256,-0.742698256,-1.346542212,-1.346542212,3.308841518,0.065500412,27.35341867,23.99488529,31.18204166,minority-income,0.05,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.690479938,0,0,-1.346542212,0,0,0,0,0,0,0,-0.690479938,-0.690479938,-1.346542212,-1.346542212,3.310525849,0.064761691,27.39952969,24.0708717,31.18849355,minority-income,0.075,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.63826162,0,0,-1.346542212,0,0,0,0,0,0,0,-0.63826162,-0.63826162,-1.346542212,-1.346542212,3.312245785,0.064085619,27.4466957,24.14493309,31.19996654,minority-income,0.1,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.586043302,0,0,-1.346542212,0,0,0,0,0,0,0,-0.586043302,-0.586043302,-1.346542212,-1.346542212,3.314001328,0.06346689,27.49492187,24.21730713,31.21613501,minority-income,0.125,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.533824984,0,0,-1.346542212,0,0,0,0,0,0,0,-0.533824984,-0.533824984,-1.346542212,-1.346542212,3.315792478,0.06290026,27.54421352,24.28823214,31.2366785,minority-income,0.15,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.481606666,0,0,-1.346542212,0,0,0,0,0,0,0,-0.481606666,-0.481606666,-1.346542212,-1.346542212,3.317619234,0.062380587,27.59457606,24.35794453,31.26128426,minority-income,0.175,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.429388348,0,0,-1.346542212,0,0,0,0,0,0,0,-0.429388348,-0.429388348,-1.346542212,-1.346542212,3.319481596,0.061902884,27.64601504,24.42667633,31.28964977,minority-income,0.2,-60
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.37717003,0,0,-1.346542212,0,0,0,0,0,0,0,-0.37717003,-0.37717003,-1.346542212,-1.346542212,3.321379564,0.06146236,27.69853613,24.49465287,31.32148505,minority-income,0.225,-60
