"modname","popd500","natdiv500","natdiv1000","poc500","poc1000","income500","income1000","yrbuilt500","K","AICc","Delta_AICc","AICcWt"
"mod2a2b5c5d4e6","L","L","Q","L","0","Q","0","0",25,104268.943709711,0,0.11
"mod2a2b5c5d2e6","L","L","Q","L","0","L","Q","0",26,104269.182011245,0.24,0.1
"mod2a2b5c3d4e6","L","L","Q","L","L","Q","0","0",26,104269.883743705,0.94,0.07
"mod2a2b5c4d4e6","L","L","Q","Q","0","Q","0","0",26,104270.168335477,1.22,0.06
"mod2a2b5c4d2e6","L","L","Q","Q","0","L","Q","0",27,104270.296099887,1.35,0.06
"mod2a2b4c5d4e6","Q","L","Q","L","0","Q","0","0",26,104270.613819402,1.67,0.05
"mod2a2b4c5d2e6","Q","L","Q","L","0","L","Q","0",27,104270.827057216,1.88,0.04
"mod2a2b5c5d4e5","L","L","Q","L","0","Q","0","L",26,104270.894079044,1.95,0.04
"mod2a2b5c3d2e6","L","L","Q","L","L","L","Q","0",27,104271.010454893,2.07,0.04
"mod2a2b5c5d2e5","L","L","Q","L","0","L","Q","L",27,104271.04170366,2.1,0.04
"mod2a2b4c3d4e6","Q","L","Q","L","L","Q","0","0",27,104271.55239701,2.61,0.03
"mod2a2b5c3d4e5","L","L","Q","L","L","Q","0","L",27,104271.784946405,2.84,0.03
"mod2a2b4c4d4e6","Q","L","Q","Q","0","Q","0","0",27,104271.793549095,2.85,0.03
"mod2a2b4c4d2e6","Q","L","Q","Q","0","L","Q","0",28,104271.889181601,2.95,0.03
"mod2a2b5c4d2e5","L","L","Q","Q","0","L","Q","L",28,104271.984988133,3.04,0.02
"mod2a2b5c4d4e5","L","L","Q","Q","0","Q","0","L",27,104272.012768673,3.07,0.02
"mod2a2b4c5d4e5","Q","L","Q","L","0","Q","0","L",27,104272.517119755,3.57,0.02
"mod2a2b4c5d2e5","Q","L","Q","L","0","L","Q","L",28,104272.613888617,3.67,0.02
"mod2a2b5c5d6e6","L","L","Q","L","0","0","0","0",23,104272.632053123,3.69,0.02
"mod2a2b4c3d2e6","Q","L","Q","L","L","L","Q","0",28,104272.640414071,3.7,0.02
"mod2a2b5c3d2e5","L","L","Q","L","L","L","Q","L",28,104272.851976135,3.91,0.02
"mod2a2b4c3d4e5","Q","L","Q","L","L","Q","0","L",28,104273.390255343,4.45,0.01
"mod2a2b4c4d2e5","Q","L","Q","Q","0","L","Q","L",29,104273.454096048,4.51,0.01
"mod2a2b5c6d2e6","L","L","Q","0","0","L","Q","0",25,104273.492645711,4.55,0.01
"mod2a2b4c4d4e5","Q","L","Q","Q","0","Q","0","L",28,104273.548622495,4.6,0.01
"mod2a2b5c3d6e6","L","L","Q","L","L","0","0","0",24,104273.663502099,4.72,0.01
"mod2a2b5c6d4e6","L","L","Q","0","0","Q","0","0",24,104273.86086572,4.92,0.01
"mod2a2b5c4d6e6","L","L","Q","Q","0","0","0","0",24,104273.980423406,5.04,0.01
"mod2a2b4c5d6e6","Q","L","Q","L","0","0","0","0",24,104274.265328461,5.32,0.01
"mod2a2b4c3d2e5","Q","L","Q","L","L","L","Q","L",29,104274.401819445,5.46,0.01
"mod2a2b5c5d6e5","L","L","Q","L","0","0","0","L",24,104274.411911757,5.47,0.01
"mod2a2b4c6d2e6","Q","L","Q","0","0","L","Q","0",26,104275.199777731,6.26,0
"mod2a2b5c6d2e5","L","L","Q","0","0","L","Q","L",26,104275.272276802,6.33,0
"mod2a2b4c3d6e6","Q","L","Q","L","L","0","0","0",25,104275.285195863,6.34,0
"mod2a2b5c6d6e6","L","L","Q","0","0","0","0","0",22,104275.347264849,6.4,0
"mod2a2b5c3d6e5","L","L","Q","L","L","0","0","L",25,104275.363410078,6.42,0
"mod2a2b4c4d6e6","Q","L","Q","Q","0","0","0","0",25,104275.557554896,6.61,0
"mod2a2b4c6d4e6","Q","L","Q","0","0","Q","0","0",25,104275.570912193,6.63,0
"mod2a2b5c4d6e5","L","L","Q","Q","0","0","0","L",25,104275.601170015,6.66,0
"mod2a2b5c6d4e5","L","L","Q","0","0","Q","0","L",25,104275.759529645,6.82,0
"mod2a2b4c5d6e5","Q","L","Q","L","0","0","0","L",25,104275.947069071,7,0
"mod2a2b4c3d6e5","Q","L","Q","L","L","0","0","L",26,104276.868145664,7.92,0
"mod2a2b4c6d2e5","Q","L","Q","0","0","L","Q","L",27,104276.89798554,7.95,0
"mod2a2b4c6d6e6","Q","L","Q","0","0","0","0","0",23,104276.911419263,7.97,0
"mod2a2b4c4d6e5","Q","L","Q","Q","0","0","0","L",26,104277.028099437,8.08,0
"mod2a2b5c6d6e5","L","L","Q","0","0","0","0","L",23,104277.181942603,8.24,0
"mod2a2b4c6d4e5","Q","L","Q","0","0","Q","0","L",26,104277.41060972,8.47,0
"mod2a2b4c6d6e5","Q","L","Q","0","0","0","0","L",24,104278.651882816,9.71,0
